
line2
line3

NREL 5.0 MW Baseline Wind Turbine for Use in Offshore Analysis.

    Time	WindVxi	GenPwr	RotSpeed	OoPDefl1	IPDefl1	OoPDefl2	IPDefl2	OoPDefl3	IPDefl3	RootFxc1	RootFyc1	RootFzc1	RotTorq
   (sec)	(m/sec)	(kW)	(rpm)	(m)	(m)	(m)	(m)	(m)	(m)	(kN)	(kN)	(kN)	(kNm)
1.380000000000000115e-01 1.140000000000000036e+01 4.789000000000000000e+03 1.188000000000000078e+01 9.980999999999999872e-01 -1.570000000000000007e-01 1.002999999999999892e+00 -3.013000000000000123e-01 9.877000000000000224e-01 1.456000000000000003e-02 9.023000000000000398e+01 -8.273000000000000398e+01 4.608999999999999773e+02 3.979000000000000000e+03
1.499999999999999944e-01 1.140000000000000036e+01 4.792000000000000000e+03 1.183000000000000007e+01 1.153000000000000025e+00 -1.986999999999999877e-01 1.161000000000000032e+00 -3.667000000000000259e-01 1.141000000000000014e+00 3.929000000000000201e-03 1.005999999999999943e+02 -8.510999999999999943e+01 4.600000000000000000e+02 4.325000000000000000e+03
1.630000000000000060e-01 1.140000000000000036e+01 4.799000000000000000e+03 1.180000000000000071e+01 1.316000000000000059e+00 -2.452999999999999903e-01 1.326999999999999957e+00 -4.376999999999999780e-01 1.300999999999999934e+00 -9.395999999999999838e-03 1.102999999999999972e+02 -8.564000000000000057e+01 4.593000000000000114e+02 4.619000000000000000e+03
1.749999999999999889e-01 1.140000000000000036e+01 4.808000000000000000e+03 1.176999999999999957e+01 1.483000000000000096e+00 -2.953000000000000069e-01 1.497999999999999998e+00 -5.128000000000000336e-01 1.465999999999999970e+00 -2.416000000000000092e-02 1.215000000000000000e+02 -8.464000000000000057e+01 4.586000000000000227e+02 4.865000000000000000e+03
1.880000000000000004e-01 1.140000000000000036e+01 4.819000000000000000e+03 1.175000000000000000e+01 1.655000000000000027e+00 -3.476000000000000201e-01 1.675999999999999934e+00 -5.905000000000000249e-01 1.635999999999999899e+00 -3.948999999999999733e-02 1.328000000000000114e+02 -8.287000000000000455e+01 4.581999999999999886e+02 5.072000000000000000e+03
2.000000000000000111e-01 1.140000000000000036e+01 4.832000000000000000e+03 1.175000000000000000e+01 1.830999999999999961e+00 -4.007000000000000006e-01 1.856999999999999984e+00 -6.689000000000000501e-01 1.810000000000000053e+00 -5.394999999999999796e-02 1.445000000000000000e+02 -8.043999999999999773e+01 4.578999999999999773e+02 5.250000000000000000e+03
2.129999999999999949e-01 1.140000000000000036e+01 4.846000000000000000e+03 1.175999999999999979e+01 2.012000000000000011e+00 -4.531999999999999917e-01 2.044000000000000039e+00 -7.463999999999999524e-01 1.987999999999999989e+00 -6.632000000000000395e-02 1.551999999999999886e+02 -7.825000000000000000e+01 4.580000000000000000e+02 5.409000000000000000e+03
2.250000000000000056e-01 1.140000000000000036e+01 4.847000000000000000e+03 1.177999999999999936e+01 2.193999999999999950e+00 -5.034999999999999476e-01 2.233999999999999986e+00 -8.211000000000000520e-01 2.169000000000000039e+00 -7.527000000000000357e-02 1.669000000000000057e+02 -7.659000000000000341e+01 4.580000000000000000e+02 5.558000000000000000e+03
2.379999999999999893e-01 1.140000000000000036e+01 4.841000000000000000e+03 1.181000000000000050e+01 2.379999999999999893e+00 -5.503000000000000114e-01 2.427999999999999936e+00 -8.913999999999999702e-01 2.353000000000000203e+00 -7.974000000000000532e-02 1.779000000000000057e+02 -7.618999999999999773e+01 4.581999999999999886e+02 5.706000000000000000e+03
2.500000000000000000e-01 1.140000000000000036e+01 4.835000000000000000e+03 1.184999999999999964e+01 2.567000000000000171e+00 -5.926000000000000156e-01 2.624000000000000110e+00 -9.559999999999999609e-01 2.537999999999999812e+00 -7.889000000000000179e-02 1.890000000000000000e+02 -7.698000000000000398e+01 4.583999999999999773e+02 5.856000000000000000e+03
2.630000000000000115e-01 1.140000000000000036e+01 4.831000000000000000e+03 1.189000000000000057e+01 2.754999999999999893e+00 -6.296000000000000485e-01 2.822999999999999954e+00 -1.014000000000000012e+00 2.725000000000000089e+00 -7.216999999999999804e-02 1.985999999999999943e+02 -7.939000000000000057e+01 4.585000000000000000e+02 6.009000000000000000e+03
2.750000000000000222e-01 1.140000000000000036e+01 4.829000000000000000e+03 1.193999999999999950e+01 2.943999999999999950e+00 -6.608000000000000540e-01 3.023000000000000131e+00 -1.064000000000000057e+00 2.911999999999999922e+00 -5.945000000000000284e-02 2.086999999999999886e+02 -8.328000000000000114e+01 4.583999999999999773e+02 6.162000000000000000e+03
2.879999999999999782e-01 1.140000000000000036e+01 4.828000000000000000e+03 1.198000000000000043e+01 3.133999999999999897e+00 -6.862000000000000322e-01 3.225000000000000089e+00 -1.106999999999999984e+00 3.100000000000000089e+00 -4.086000000000000049e-02 2.175999999999999943e+02 -8.871999999999999886e+01 4.581000000000000227e+02 6.308000000000000000e+03
2.999999999999999889e-01 1.140000000000000036e+01 4.840000000000000000e+03 1.201999999999999957e+01 3.322000000000000064e+00 -7.059999999999999609e-01 3.426000000000000156e+00 -1.141999999999999904e+00 3.286999999999999922e+00 -1.697999999999999857e-02 2.263000000000000114e+02 -9.521999999999999886e+01 4.575000000000000000e+02 6.438000000000000000e+03
